2019-05-15 12:02:34,591 - DataMapping - INFO - Extracting Path Data.....
2019-05-15 12:02:34,629 - DataMapping - INFO - Extracting Sign Data from sqlite..... for Snapshot_2014.09.10_at_16.40.44.rec    AE    City
2019-05-15 12:02:34,630 - DataMapping - INFO - Done Extracting Sqlite Data!!
2019-05-15 12:02:34,630 - DataMapping - INFO - Extracting ROI and Frame Data.....
2019-05-15 12:02:34,704 - DataMapping - INFO - Done Extracting ROI and Frame Data!!
2019-05-15 12:02:34,705 - DataMapping - INFO - Done Extracting All Data!!
2019-05-15 12:02:34,754 - DataMapping - INFO - (1, '- Mapping completed')
2019-05-15 12:02:34,764 - DataMapping - INFO - (2, '- Mapping completed')
2019-05-15 12:02:34,771 - DataMapping - INFO - (3, '- Mapping completed')
2019-05-15 12:02:34,778 - DataMapping - INFO - (4, '- Mapping completed')
2019-05-15 12:02:34,782 - DataMapping - INFO - (5, '- Mapping completed')
2019-05-15 12:02:34,788 - DataMapping - INFO - (6, '- Mapping completed')
2019-05-15 12:02:34,794 - DataMapping - INFO - (7, '- Mapping completed')
2019-05-15 12:02:34,800 - DataMapping - INFO - (8, '- Mapping completed')
2019-05-15 12:02:34,805 - DataMapping - INFO - (9, '- Mapping completed')
2019-05-15 12:02:34,810 - DataMapping - INFO - (10, '- Mapping completed')
2019-05-15 12:02:34,816 - DataMapping - INFO - (11, '- Mapping completed')
2019-05-15 12:02:34,821 - DataMapping - INFO - (12, '- Mapping completed')
2019-05-15 12:02:34,827 - DataMapping - INFO - (13, '- Mapping completed')
2019-05-15 12:02:34,832 - DataMapping - INFO - (14, '- Mapping completed')
2019-05-15 12:02:34,856 - DataMapping - INFO - (15, '- Mapping completed')
2019-05-15 12:02:34,868 - DataMapping - INFO - (16, '- Mapping completed')
2019-05-15 12:02:34,874 - DataMapping - INFO - (17, '- Mapping completed')
2019-05-15 12:02:34,898 - DataMapping - INFO - (18, '- Mapping completed')
2019-05-15 12:02:34,915 - DataMapping - INFO - (19, '- Mapping completed')
2019-05-15 12:02:34,922 - DataMapping - INFO - (20, '- Mapping completed')
2019-05-15 12:02:34,928 - DataMapping - INFO - (21, '- Mapping completed')
2019-05-15 12:02:34,943 - DataMapping - INFO - (22, '- Mapping completed')
2019-05-15 12:02:34,955 - DataMapping - INFO - (23, '- Mapping completed')
2019-05-15 12:02:34,965 - DataMapping - INFO - (24, '- Mapping completed')
2019-05-15 12:02:34,972 - DataMapping - INFO - (25, '- Mapping completed')
2019-05-15 12:02:34,988 - DataMapping - INFO - (26, '- Mapping completed')
2019-05-15 12:02:35,001 - DataMapping - INFO - (27, '- Mapping completed')
2019-05-15 12:02:35,008 - DataMapping - INFO - (28, '- Mapping completed')
2019-05-15 12:02:35,014 - DataMapping - INFO - (29, '- Mapping completed')
2019-05-15 12:02:35,025 - DataMapping - INFO - (30, '- Mapping completed')
2019-05-15 12:02:35,032 - DataMapping - INFO - (31, '- Mapping completed')
